evtID,CutID,bpmX,bpmY,focal_x,focal_y,focal_th,focal_ph,targCalTh,targCalPh 
0,158,0.001792,-0.003498,-0.021353,-0.006688,-0.004698,0.002782,0.007882,0.004428 
1,136,0.001792,-0.003498,-0.021247,0.010165,0.002940,-0.002455,-0.005707,-0.008077 
2,143,0.001792,-0.003498,-0.214489,0.002171,0.000819,0.001772,-0.005707,-0.001824 
3,155,0.001792,-0.003498,-0.027194,-0.010821,0.014393,0.000127,-0.032884,0.004428 
4,143,0.001792,-0.003498,-0.021743,0.002868,0.000878,0.000014,-0.005707,-0.001824 
5,148,0.001792,-0.003498,-0.072040,-0.004912,0.010873,0.000601,-0.026090,0.001302 
6,138,0.001792,-0.003498,-0.023499,0.002296,-0.008155,-0.007903,0.021470,-0.008077 
7,136,0.001792,-0.003498,-0.021360,0.009824,0.001404,-0.000415,-0.005707,-0.008077 
8,164,0.001792,-0.003498,-0.026499,-0.010711,0.002328,0.009413,-0.005707,0.010680 
9,157,0.001792,-0.003498,-0.103875,-0.003578,0.001806,0.006624,-0.005707,0.004428 
10,131,0.001792,-0.003498,-0.021146,-0.000037,-0.011369,-0.013813,0.028265,-0.010528 
11,129,0.001792,-0.003498,-0.028071,0.012540,0.001229,-0.005554,0.001087,-0.010528 
12,129,0.001792,-0.003498,-0.026678,0.013076,-0.000501,-0.003461,0.001087,-0.010528 
13,129,0.001792,-0.003498,-0.043544,0.012069,-0.000452,-0.003646,0.001087,-0.010528 
14,130,0.001792,-0.003498,-0.031428,0.008264,-0.004995,-0.005925,0.014676,-0.010528 
15,171,0.001792,-0.003498,-0.019160,-0.012977,-0.001998,0.011164,0.001087,0.013806 
16,142,0.001792,-0.003498,-0.019208,0.000269,0.008103,-0.001684,-0.019296,-0.001824 
17,128,0.001792,-0.003498,-0.017801,0.012930,0.004227,-0.003483,-0.012501,-0.010528 
18,135,0.001792,-0.003498,-0.013225,0.006909,0.006672,-0.004176,-0.019296,-0.008077 
19,137,0.001792,-0.003498,-0.026915,0.007899,-0.002593,-0.002941,0.007882,-0.008077 
20,130,0.001792,-0.003498,-0.030429,0.007001,-0.002543,-0.007849,0.014676,-0.010528 
21,143,0.001792,-0.003498,-0.027802,0.002221,0.001357,-0.001191,-0.005707,-0.001824 
22,143,0.001792,-0.003498,-0.045142,-0.001452,0.001771,-0.001260,-0.005707,-0.001824 
23,155,0.001792,-0.003498,-0.039861,-0.009780,0.014527,0.000953,-0.032884,0.004428 
24,143,0.001792,-0.003498,-0.021339,0.001141,0.001653,0.002145,-0.005707,-0.001824 
25,162,0.001792,-0.003498,-0.031439,-0.016009,0.016137,0.003663,-0.032884,0.010680 
26,130,0.001792,-0.003498,-0.032312,0.008728,-0.004355,-0.008156,0.014676,-0.010528 
27,185,0.001792,-0.003498,-0.023772,-0.020046,-0.001588,0.014000,0.001087,0.020058 
28,130,0.001792,-0.003498,-0.029247,0.007761,-0.004256,-0.009746,0.014676,-0.010528 
