evtID,CutID,bpmX,bpmY,focal_x,focal_y,focal_th,focal_ph,targCalTh,targCalPh 
0,136,0.003794,-0.000501,-0.014535,0.011066,0.000552,-0.001618,-0.000817,-0.010117 
1,130,0.003794,-0.000501,-0.027425,0.008514,-0.006709,-0.009000,0.019571,-0.012569 
2,179,0.003794,-0.000501,-0.013932,-0.014659,-0.006437,0.014969,0.012775,0.014835 
3,142,0.003794,-0.000501,-0.010740,0.003021,0.005594,0.001385,-0.014409,-0.003863 
4,127,0.003794,-0.000501,-0.002179,0.012108,0.006449,-0.004135,-0.021206,-0.012569 
5,128,0.003794,-0.000501,-0.123275,0.014076,0.001864,-0.003794,-0.007613,-0.012569 
6,144,0.003794,-0.000501,-0.013754,0.005031,-0.003403,0.000268,0.012775,-0.003863 
7,131,0.003794,-0.000501,-0.015528,0.002188,-0.011879,-0.013607,0.033164,-0.012569 
8,143,0.003794,-0.000501,-0.013860,0.005446,0.000768,0.003507,-0.000817,-0.003863 
9,135,0.003794,-0.000501,-0.005912,0.010789,0.004409,-0.000544,-0.014409,-0.010117 
10,143,0.003794,-0.000501,-0.016595,0.004616,-0.000926,0.001558,-0.000817,-0.003863 
11,130,0.003794,-0.000501,-0.222717,0.010546,-0.005433,-0.005559,0.019571,-0.012569 
12,162,0.003794,-0.000501,-0.024012,-0.013590,0.014437,0.004157,-0.028002,0.008643 
13,143,0.003794,-0.000501,-0.031824,0.006020,0.000173,-0.000619,-0.000817,-0.003863 
14,131,0.003794,-0.000501,-0.015099,0.002841,-0.012322,-0.012020,0.033164,-0.012569 
15,130,0.003794,-0.000501,-0.024109,0.008884,-0.005377,-0.008615,0.019571,-0.012569 
16,155,0.003794,-0.000501,-0.017392,-0.007458,0.013109,0.001533,-0.028002,0.002390 
17,155,0.003794,-0.000501,-0.017139,-0.006336,0.012827,-0.000088,-0.028002,0.002390 
18,179,0.003794,-0.000501,-0.007432,-0.015429,-0.007064,0.013371,0.012775,0.014835 
19,130,0.003794,-0.000501,-0.024502,0.009247,-0.005342,-0.008524,0.019571,-0.012569 
20,130,0.003794,-0.000501,-0.025533,0.011542,-0.005139,-0.006717,0.019571,-0.012569 
21,142,0.003794,-0.000501,-0.011247,0.002575,0.005402,0.001392,-0.014409,-0.003863 
22,179,0.003794,-0.000501,-0.006502,-0.014920,-0.006263,0.013468,0.012775,0.014835 
23,158,0.003794,-0.000501,-0.016043,-0.003196,-0.006001,0.003098,0.012775,0.002390 
24,150,0.003794,-0.000501,-0.056234,-0.000229,-0.002559,0.002209,0.005979,-0.000737 
25,155,0.003794,-0.000501,-0.017049,-0.007845,0.012584,0.000978,-0.028002,0.002390 
26,162,0.003794,-0.000501,-0.027651,-0.013070,0.013963,0.005515,-0.028002,0.008643 
27,156,0.003794,-0.000501,-0.014109,-0.002692,0.005346,0.004184,-0.014409,0.002390 
28,148,0.003794,-0.000501,-0.011714,-0.000930,0.008329,0.002256,-0.021206,-0.000737 
29,137,0.003794,-0.000501,-0.020546,0.009399,-0.003611,-0.003798,0.012775,-0.010117 
30,143,0.003794,-0.000501,-0.017852,0.003442,-0.000185,-0.000493,-0.000817,-0.003863 
31,165,0.003794,-0.000501,-0.007890,-0.010001,-0.006985,0.008468,0.012775,0.008643 
32,130,0.003794,-0.000501,-0.140286,0.009622,-0.005047,-0.009275,0.019571,-0.012569 
33,163,0.003794,-0.000501,-0.019503,-0.010393,0.006030,0.006139,-0.014409,0.008643 
34,129,0.003794,-0.000501,-0.028290,0.014866,-0.000661,-0.003057,0.005979,-0.012569 
35,137,0.003794,-0.000501,-0.023825,0.009650,-0.004763,-0.005795,0.012775,-0.010117 
36,142,0.003794,-0.000501,-0.009765,0.003915,0.004959,0.000834,-0.014409,-0.003863 
37,152,0.003794,-0.000501,-0.000715,-0.005358,-0.016435,-0.000294,0.033164,-0.000737 
38,130,0.003794,-0.000501,-0.029708,0.011678,-0.004838,-0.007926,0.019571,-0.012569 
39,130,0.003794,-0.000501,-0.024547,0.008976,-0.005678,-0.007852,0.019571,-0.012569 
40,178,0.003794,-0.000501,-0.020136,-0.014397,-0.000153,0.014008,-0.000817,0.014835 
41,129,0.003794,-0.000501,-0.055835,0.013485,-0.000350,-0.003732,0.005979,-0.012569 
42,142,0.003794,-0.000501,-0.076019,0.002908,0.003519,0.000761,-0.014409,-0.003863 
43,138,0.003794,-0.000501,-0.058222,0.003162,-0.008980,-0.010702,0.026368,-0.010117 
44,130,0.003794,-0.000501,-0.025624,0.010727,-0.006010,-0.007357,0.019571,-0.012569 
