evtID,CutID,bpmX,bpmY,focal_x,focal_y,focal_th,focal_ph,targCalTh,targCalPh 
0,131,-0.000200,-0.000500,-0.010318,-0.002597,-0.013843,-0.014237,0.033147,-0.008499 
1,156,-0.000200,-0.000500,-0.015518,-0.008518,0.005723,0.002824,-0.014400,0.006455 
2,142,-0.000200,-0.000500,-0.009463,-0.001211,0.006162,-0.000651,-0.014400,0.000204 
3,134,-0.000200,-0.000500,-0.047928,0.001095,0.009073,-0.004951,-0.027985,-0.006047 
4,177,-0.000200,-0.000500,-0.028036,-0.020132,0.007620,0.010960,-0.014400,0.018896 
5,130,-0.000200,-0.000500,-0.028319,0.005989,-0.006163,-0.008145,0.019562,-0.008499 
6,184,-0.000200,-0.000500,-0.081241,-0.019606,0.003788,0.015485,-0.007608,0.022083 
7,164,-0.000200,-0.000500,-0.015452,-0.013515,-0.000325,0.008160,-0.000815,0.012706 
8,130,-0.000200,-0.000500,-0.021885,0.006657,-0.006272,-0.007155,0.019562,-0.008499 
9,150,-0.000200,-0.000500,-0.013155,-0.003005,-0.002278,0.000891,0.005977,0.003330 
10,142,-0.000200,-0.000500,-0.012247,-0.000703,0.005607,-0.000604,-0.014400,0.000204 
11,134,-0.000200,-0.000500,-0.001396,0.005312,0.009053,-0.004109,-0.027985,-0.006047 
12,143,-0.000200,-0.000500,-0.013404,0.000156,-0.001501,0.000342,-0.000815,0.000204 
13,142,-0.000200,-0.000500,-0.012009,-0.001461,0.007185,-0.001997,-0.014400,0.000204 
14,136,-0.000200,-0.000500,-0.015054,0.007114,0.000628,-0.002281,-0.000815,-0.006047 
15,170,-0.000200,-0.000500,-0.019392,-0.016212,0.003185,0.010118,-0.007608,0.015832 
16,155,-0.000200,-0.000500,-0.019675,-0.011139,0.011675,-0.000034,-0.027985,0.006455 
17,151,-0.000200,-0.000500,-0.007512,-0.006394,-0.008485,-0.002058,0.019562,0.003330 
18,177,-0.000200,-0.000500,-0.024621,-0.020165,0.007498,0.009371,-0.014400,0.018896 
19,135,-0.000200,-0.000500,-0.008477,0.005623,0.005090,-0.005398,-0.014400,-0.006047 
20,178,-0.000200,-0.000500,-0.024291,-0.021399,-0.001452,0.008401,-0.000815,0.018896 
21,138,-0.000200,-0.000500,-0.014610,-0.000574,-0.010720,-0.009400,0.026355,-0.006047 
22,127,-0.000200,-0.000500,0.005313,0.006834,0.007445,-0.006706,-0.021192,-0.008499 
23,124,-0.000200,-0.000500,-0.024241,0.003929,-0.007634,-0.013656,0.026355,-0.010950 
24,136,-0.000200,-0.000500,-0.014215,0.007866,0.000458,-0.004468,-0.000815,-0.006047 
25,179,-0.000200,-0.000500,-0.036644,-0.017972,-0.008401,0.015021,0.012770,0.018896 
26,136,-0.000200,-0.000500,-0.015040,0.007489,-0.000033,-0.002629,-0.000815,-0.006047 
27,141,-0.000200,-0.000500,-0.013331,-0.005760,0.012453,-0.004063,-0.027985,0.000204 
28,157,-0.000200,-0.000500,-0.015782,-0.006856,0.001236,0.003072,-0.000815,0.006455 
29,129,-0.000200,-0.000500,-0.019550,0.010129,-0.001245,-0.004242,0.005977,-0.008499 
30,137,-0.000200,-0.000500,-0.018328,0.005234,-0.004192,-0.005295,0.012770,-0.006047 
31,135,-0.000200,-0.000500,-0.007849,0.005004,0.004919,-0.004037,-0.014400,-0.006047 
32,123,-0.000200,-0.000500,-0.026270,0.011511,-0.002446,-0.008951,0.012770,-0.010950 
33,135,-0.000200,-0.000500,-0.016971,0.005429,0.004772,-0.001940,-0.014400,-0.006047 
34,136,-0.000200,-0.000500,-0.014499,0.007578,0.001047,-0.003088,-0.000815,-0.006047 
35,159,-0.000200,-0.000500,-0.058217,-0.010118,-0.013066,0.003300,0.026355,0.006455 
36,127,-0.000200,-0.000500,-0.006107,0.005222,0.007099,-0.007232,-0.021192,-0.008499 
37,134,-0.000200,-0.000500,-0.003357,0.000511,0.010760,-0.007853,-0.027985,-0.006047 
38,163,-0.000200,-0.000500,-0.020116,-0.014887,0.005970,0.006357,-0.014400,0.012706 
39,135,-0.000200,-0.000500,-0.006858,0.005652,0.004065,-0.003710,-0.014400,-0.006047 
40,148,-0.000200,-0.000500,-0.012975,-0.005998,0.009027,0.000200,-0.021192,0.003330 
41,128,-0.000200,-0.000500,-0.109464,0.008986,0.001399,-0.006460,-0.007608,-0.008499 
42,143,-0.000200,-0.000500,-0.014540,-0.000201,-0.000471,0.000275,-0.000815,0.000204 
43,124,-0.000200,-0.000500,-0.023939,0.004668,-0.009218,-0.012715,0.026355,-0.010950 
44,124,-0.000200,-0.000500,-0.023887,0.006384,-0.006816,-0.011517,0.026355,-0.010950 
45,142,-0.000200,-0.000500,-0.011213,-0.002625,0.006960,-0.002077,-0.014400,0.000204 
46,158,-0.000200,-0.000500,-0.014204,-0.006950,-0.005786,0.004481,0.012770,0.006455 
47,121,-0.000200,-0.000500,-0.004787,0.011584,0.005002,-0.006268,-0.014400,-0.010950 
48,123,-0.000200,-0.000500,-0.025761,0.011266,-0.002020,-0.007799,0.012770,-0.010950 
49,143,-0.000200,-0.000500,-0.013192,-0.001110,0.000465,0.000897,-0.000815,0.000204 
50,159,-0.000200,-0.000500,0.000454,-0.010405,-0.013230,0.002642,0.026355,0.006455 
