evtID,CutID,bpmX,bpmY,focal_x,focal_y,focal_th,focal_ph,targCalTh,targCalPh 
0,136,-0.003200,-0.000499,-0.013274,0.003462,0.001104,-0.005198,-0.000813,-0.002993 
1,121,-0.003200,-0.000499,-0.004770,0.009144,0.004097,-0.006784,-0.014393,-0.007895 
2,143,-0.003200,-0.000499,-0.013516,-0.002982,0.000353,-0.002024,-0.000813,0.003256 
3,136,-0.003200,-0.000499,-0.014579,0.001942,0.001333,-0.006035,-0.000813,-0.002993 
5,143,-0.003200,-0.000499,-0.012646,-0.003922,0.000677,-0.001860,-0.000813,0.003256 
6,123,-0.003200,-0.000499,-0.031343,0.008155,-0.003515,-0.008291,0.012766,-0.007895 
7,172,-0.003200,-0.000499,-0.004744,-0.019644,-0.010142,0.013039,0.019556,0.018880 
8,137,-0.003200,-0.000499,-0.019874,0.001393,-0.004138,-0.007000,0.012766,-0.002993 
9,137,-0.003200,-0.000499,-0.017996,0.000951,-0.003927,-0.006752,0.012766,-0.002993 
10,149,-0.003200,-0.000499,-0.012972,-0.005114,0.001850,0.002563,-0.007603,0.006381 
11,143,-0.003200,-0.000499,-0.015067,-0.004855,0.000790,-0.001239,-0.000813,0.003256 
12,165,-0.003200,-0.000499,-0.009113,-0.017610,-0.005787,0.009309,0.012766,0.015755 
14,149,-0.003200,-0.000499,-0.158114,-0.005873,0.001915,0.001938,-0.007603,0.006381 
15,156,-0.003200,-0.000499,-0.034857,-0.012238,0.007070,0.002519,-0.014393,0.009506 
16,152,-0.003200,-0.000499,-0.089292,-0.011477,-0.018838,-0.000150,0.033135,0.006381 
17,136,-0.003200,-0.000499,-0.014198,0.003873,0.000704,-0.004390,-0.000813,-0.002993 
18,145,-0.003200,-0.000499,-0.004296,-0.008873,-0.012367,-0.003193,0.026345,0.003256 
19,141,-0.003200,-0.000499,-0.011755,-0.008437,0.011620,-0.003007,-0.027972,0.003256 
20,124,-0.003200,-0.000499,-0.022757,0.001624,-0.009331,-0.014799,0.026345,-0.007895 
21,135,-0.003200,-0.000499,-0.007844,0.002249,0.005643,-0.005356,-0.014393,-0.002993 
22,150,-0.003200,-0.000499,-0.013394,-0.007457,-0.002562,0.001360,0.005976,0.006381 
23,149,-0.003200,-0.000499,-0.023900,-0.007257,0.002948,0.001497,-0.007603,0.006381 
24,157,-0.003200,-0.000499,-0.014208,-0.009868,0.001167,0.002646,-0.000813,0.009506 
25,137,-0.003200,-0.000499,-0.016869,0.001023,-0.005404,-0.006157,0.012766,-0.002993 
26,131,-0.003200,-0.000499,-0.008747,-0.005447,-0.013969,-0.015860,0.033135,-0.005444 
27,121,-0.003200,-0.000499,-0.004500,0.009171,0.004317,-0.005187,-0.014393,-0.007895 
28,123,-0.003200,-0.000499,-0.178300,0.005385,-0.002865,-0.012034,0.012766,-0.007895 
29,157,-0.003200,-0.000499,-0.013103,-0.010813,0.000940,0.001250,-0.000813,0.009506 
31,138,-0.003200,-0.000499,-0.194570,-0.003053,-0.011019,-0.009605,0.026345,-0.002993 
32,128,-0.003200,-0.000499,-0.009816,0.006122,0.002212,-0.003084,-0.007603,-0.005444 
33,152,-0.003200,-0.000499,0.004384,-0.012823,-0.018745,-0.000479,0.033135,0.006381 
34,151,-0.003200,-0.000499,-0.178527,-0.007459,-0.009352,0.003421,0.019556,0.006381 
35,151,-0.003200,-0.000499,-0.006372,-0.009806,-0.008854,0.000203,0.019556,0.006381 
36,130,-0.003200,-0.000499,-0.045523,0.002032,-0.006650,-0.008592,0.019556,-0.005444 
37,130,-0.003200,-0.000499,-0.019566,0.002176,-0.004727,-0.009910,0.019556,-0.005444 
38,138,-0.003200,-0.000499,-0.011662,-0.003700,-0.010864,-0.010982,0.026345,-0.002993 
39,143,-0.003200,-0.000499,-0.012759,-0.003590,-0.001019,-0.000103,-0.000813,0.003256 
40,136,-0.003200,-0.000499,-0.013977,0.004003,0.000627,-0.002817,-0.000813,-0.002993 
41,151,-0.003200,-0.000499,-0.006554,-0.010314,-0.008428,-0.001696,0.019556,0.006381 
42,138,-0.003200,-0.000499,-0.160629,-0.004240,-0.011345,-0.010864,0.026345,-0.002993 
45,145,-0.003200,-0.000499,-0.004647,-0.008968,-0.012471,-0.004933,0.026345,0.003256 
46,138,-0.003200,-0.000499,-0.013064,-0.002352,-0.009310,-0.009787,0.026345,-0.002993 
47,130,-0.003200,-0.000499,-0.019781,0.001594,-0.006754,-0.008585,0.019556,-0.005444 
48,142,-0.003200,-0.000499,-0.014172,-0.004702,0.006304,-0.001573,-0.014393,0.003256 
49,143,-0.003200,-0.000499,-0.013229,-0.004358,-0.000228,-0.001734,-0.000813,0.003256 
50,129,-0.003200,-0.000499,-0.024453,0.005174,-0.000897,-0.007196,0.005976,-0.005444 
51,143,-0.003200,-0.000499,-0.014405,-0.003247,0.000402,-0.001258,-0.000813,0.003256 
52,162,-0.003200,-0.000499,-0.026064,-0.021015,0.013595,0.001683,-0.027972,0.015755 
53,155,-0.003200,-0.000499,-0.017860,-0.013965,0.011543,-0.001146,-0.027972,0.009506 
54,152,-0.003200,-0.000499,0.005039,-0.013083,-0.018364,-0.000683,0.033135,0.006381 
55,163,-0.003200,-0.000499,-0.021379,-0.018140,0.006682,0.004083,-0.014393,0.015755 
56,120,-0.003200,-0.000499,-0.002456,0.003049,0.007827,-0.009134,-0.027972,-0.007895 
58,166,-0.003200,-0.000499,0.001326,-0.017302,-0.014301,0.012488,0.026345,0.015755 
59,135,-0.003200,-0.000499,-0.007669,0.001663,0.004129,-0.005428,-0.014393,-0.002993 
60,151,-0.003200,-0.000499,-0.007251,-0.010247,-0.010336,-0.001943,0.019556,0.006381 
