evtID,CutID,bpmX,bpmY,focal_x,focal_y,focal_th,focal_ph,targCalTh,targCalPh 
0,152,-0.002208,-0.003497,-0.049063,-0.011303,-0.013623,-0.001111,0.028249,0.005372 
1,129,-0.002208,-0.003497,-0.101042,0.003626,-0.000169,-0.007595,0.001086,-0.006454 
2,155,-0.002208,-0.003497,-0.038282,-0.014161,0.014632,-0.000578,-0.032866,0.008497 
3,129,-0.002208,-0.003497,-0.121311,0.006511,0.000125,-0.007904,0.001086,-0.006454 
4,172,-0.002208,-0.003497,-0.012996,-0.018101,-0.008868,0.011707,0.014668,0.017873 
5,150,-0.002208,-0.003497,-0.020424,-0.006182,-0.000209,-0.001422,0.001086,0.005372 
6,123,-0.002208,-0.003497,-0.023088,0.011218,-0.000544,-0.003858,0.007877,-0.008905 
7,170,-0.002208,-0.003497,-0.027238,-0.017613,0.004442,0.008838,-0.012495,0.017873 
8,145,-0.002208,-0.003497,-0.015199,-0.007578,-0.010118,-0.004195,0.021458,0.002247 
9,136,-0.002208,-0.003497,-0.020308,0.003747,0.002286,-0.004703,-0.005704,-0.004003 
10,131,-0.002208,-0.003497,-0.020667,-0.003008,-0.012811,-0.014292,0.028249,-0.006454 
11,136,-0.002208,-0.003497,-0.021406,0.005823,0.001779,-0.004128,-0.005704,-0.004003 
12,178,-0.002208,-0.003497,-0.025295,-0.020523,0.001615,0.012838,-0.005704,0.020936 
13,124,-0.002208,-0.003497,-0.027576,0.001659,-0.006684,-0.013561,0.021458,-0.008905 
14,128,-0.002208,-0.003497,-0.016094,0.006759,0.004526,-0.006995,-0.012495,-0.006454 
15,170,-0.002208,-0.003497,-0.027451,-0.018514,0.005144,0.009514,-0.012495,0.017873 
16,130,-0.002208,-0.003497,-0.027503,0.003477,-0.005899,-0.008796,0.014668,-0.006454 
17,171,-0.002208,-0.003497,-0.021664,-0.017624,-0.002208,0.011633,0.001086,0.017873 
18,128,-0.002208,-0.003497,-0.009786,0.009997,0.004475,-0.003106,-0.012495,-0.006454 
19,137,-0.002208,-0.003497,-0.026505,0.002645,-0.001937,-0.006640,0.007877,-0.004003 
20,128,-0.002208,-0.003497,-0.016578,0.008018,0.002893,-0.004331,-0.012495,-0.006454 
21,130,-0.002208,-0.003497,-0.027704,0.002679,-0.004918,-0.007754,0.014668,-0.006454 
22,124,-0.002208,-0.003497,-0.031194,0.002475,-0.005972,-0.012063,0.021458,-0.008905 
23,159,-0.002208,-0.003497,-0.010249,-0.012230,-0.010519,0.001060,0.021458,0.008497 
24,136,-0.002208,-0.003497,-0.020728,0.004597,0.002328,-0.002854,-0.005704,-0.004003 
25,126,-0.002208,-0.003497,-0.019604,0.002066,0.012782,-0.007165,-0.039657,-0.006454 
26,130,-0.002208,-0.003497,-0.066132,0.001246,-0.005428,-0.011491,0.014668,-0.006454 
27,135,-0.002208,-0.003497,-0.013024,0.004270,0.007149,-0.004116,-0.019285,-0.004003 
28,138,-0.002208,-0.003497,-0.085248,-0.002723,-0.008640,-0.008118,0.021458,-0.004003 
29,124,-0.002208,-0.003497,-0.054463,0.004531,-0.005118,-0.010280,0.021458,-0.008905 
30,143,-0.002208,-0.003497,-0.019995,-0.002213,0.003021,0.000548,-0.005704,0.002247 
31,143,-0.002208,-0.003497,-0.025130,-0.003114,0.000912,-0.000563,-0.005704,0.002247 
32,128,-0.002208,-0.003497,-0.016319,0.007472,0.004431,-0.004980,-0.012495,-0.006454 
33,128,-0.002208,-0.003497,-0.016119,0.007540,0.003166,-0.004580,-0.012495,-0.006454 
34,121,-0.002208,-0.003497,-0.010118,0.008874,0.006865,-0.006413,-0.019285,-0.008905 
35,128,-0.002208,-0.003497,-0.024715,0.007091,0.005422,-0.004676,-0.012495,-0.006454 
36,124,-0.002208,-0.003497,-0.029184,0.004968,-0.005754,-0.009336,0.021458,-0.008905 
37,135,-0.002208,-0.003497,-0.013593,0.002962,0.007120,-0.004936,-0.019285,-0.004003 
38,149,-0.002208,-0.003497,-0.020130,-0.005592,0.006474,0.002132,-0.012495,0.005372 
39,129,-0.002208,-0.003497,-0.024916,0.007809,0.000366,-0.004982,0.001086,-0.006454 
40,158,-0.002208,-0.003497,-0.016914,-0.010141,-0.003186,0.003244,0.007877,0.008497 
41,143,-0.002208,-0.003497,-0.019466,-0.003061,0.003430,-0.000972,-0.005704,0.002247 
42,147,-0.002208,-0.003497,-0.026183,-0.014578,0.016947,-0.005698,-0.039657,0.005372 
43,126,-0.002208,-0.003497,-0.007248,-0.003386,0.014424,-0.010815,-0.039657,-0.006454 
44,135,-0.002208,-0.003497,-0.046645,0.002461,0.006153,-0.003814,-0.019285,-0.004003 
45,158,-0.002208,-0.003497,-0.017578,-0.010701,-0.004738,0.003300,0.007877,0.008497 
46,131,-0.002208,-0.003497,-0.017318,-0.004272,-0.011509,-0.014202,0.028249,-0.006454 
47,143,-0.002208,-0.003497,-0.020180,-0.002451,0.001255,-0.000073,-0.005704,0.002247 
48,141,-0.002208,-0.003497,-0.021583,-0.008926,0.013212,-0.006553,-0.032866,0.002247 
49,130,-0.002208,-0.003497,-0.027675,0.003656,-0.003400,-0.008289,0.014668,-0.006454 
50,164,-0.002208,-0.003497,-0.023418,-0.014991,0.003413,0.007371,-0.005704,0.014747 
51,143,-0.002208,-0.003497,-0.023036,-0.001369,0.002536,-0.002025,-0.005704,0.002247 
52,145,-0.002208,-0.003497,-0.012992,-0.008136,-0.010766,-0.003420,0.021458,0.002247 
53,123,-0.002208,-0.003497,-0.038150,0.010158,-0.001098,-0.006547,0.007877,-0.008905 
54,143,-0.002208,-0.003497,-0.021235,-0.002059,0.002228,-0.001319,-0.005704,0.002247 
55,142,-0.002208,-0.003497,-0.018896,-0.004656,0.008430,-0.002376,-0.019285,0.002247 
56,137,-0.002208,-0.003497,-0.024324,0.002746,-0.002210,-0.004435,0.007877,-0.004003 
57,169,-0.002208,-0.003497,-0.171021,-0.017181,0.009349,0.011732,-0.026076,0.017873 
58,137,-0.002208,-0.003497,-0.026261,0.003744,-0.001917,-0.006082,0.007877,-0.004003 
59,155,-0.002208,-0.003497,-0.292129,-0.011503,0.013163,0.003427,-0.032866,0.008497 
60,130,-0.002208,-0.003497,-0.026641,0.002391,-0.004168,-0.009236,0.014668,-0.006454 
61,130,-0.002208,-0.003497,-0.026995,0.002022,-0.005528,-0.009331,0.014668,-0.006454 
62,151,-0.002208,-0.003497,-0.016019,-0.008220,-0.007761,-0.000569,0.014668,0.005372 
63,151,-0.002208,-0.003497,-0.015295,-0.008311,-0.005881,-0.000715,0.014668,0.005372 
64,147,-0.002208,-0.003497,-0.026238,-0.013846,0.016475,-0.005425,-0.039657,0.005372 
65,156,-0.002208,-0.003497,-0.023237,-0.010426,0.007099,-0.000035,-0.019285,0.008497 
66,130,-0.002208,-0.003497,-0.027527,0.003155,-0.004887,-0.007121,0.014668,-0.006454 
67,141,-0.002208,-0.003497,-0.020022,-0.008710,0.013550,-0.003429,-0.032866,0.002247 
68,127,-0.002208,-0.003497,-0.011237,-0.000344,0.010528,-0.009572,-0.026076,-0.006454 
69,126,-0.002208,-0.003497,-0.007275,-0.003680,0.014741,-0.012460,-0.039657,-0.006454 
70,152,-0.002208,-0.003497,-0.003133,-0.012245,-0.013213,-0.003051,0.028249,0.005372 
71,155,-0.002208,-0.003497,-0.161253,-0.012671,0.013350,0.000362,-0.032866,0.008497 
72,121,-0.002208,-0.003497,-0.009450,0.010311,0.005804,-0.006301,-0.019285,-0.008905 
73,143,-0.002208,-0.003497,-0.020710,-0.001607,0.001474,-0.000972,-0.005704,0.002247 
74,121,-0.002208,-0.003497,-0.009160,0.009126,0.005619,-0.005749,-0.019285,-0.008905 
75,159,-0.002208,-0.003497,-0.092566,-0.010631,-0.013001,0.005681,0.021458,0.008497 
76,152,-0.002208,-0.003497,-0.004725,-0.012592,-0.016338,-0.003145,0.028249,0.005372 
77,138,-0.002208,-0.003497,-0.022109,-0.001706,-0.009341,-0.010714,0.021458,-0.004003 
78,128,-0.002208,-0.003497,-0.016254,0.007859,0.003655,-0.004619,-0.012495,-0.006454 
79,155,-0.002208,-0.003497,-0.044817,-0.015454,0.014677,-0.000955,-0.032866,0.008497 
80,128,-0.002208,-0.003497,-0.023631,0.007584,0.003493,-0.003501,-0.012495,-0.006454 
81,149,-0.002208,-0.003497,-0.021007,-0.007059,0.005905,-0.000259,-0.012495,0.005372 
82,171,-0.002208,-0.003497,-0.021487,-0.017841,-0.001869,0.009458,0.001086,0.017873 
83,159,-0.002208,-0.003497,-0.008982,-0.012727,-0.010666,0.002333,0.021458,0.008497 
85,171,-0.002208,-0.003497,-0.027139,-0.017887,-0.000953,0.010011,0.001086,0.017873 
86,152,-0.002208,-0.003497,-0.003173,-0.012435,-0.016486,-0.001972,0.028249,0.005372 
87,155,-0.002208,-0.003497,-0.191515,-0.010966,0.011791,0.001198,-0.032866,0.008497 
88,135,-0.002208,-0.003497,-0.017000,0.003555,0.007286,-0.004536,-0.019285,-0.004003 
89,144,-0.002208,-0.003497,-0.020143,-0.003926,-0.004190,-0.002213,0.007877,0.002247 
90,137,-0.002208,-0.003497,-0.026125,0.001764,-0.002967,-0.006626,0.007877,-0.004003 
91,130,-0.002208,-0.003497,-0.027579,0.002707,-0.005497,-0.008006,0.014668,-0.006454 
92,137,-0.002208,-0.003497,-0.025115,0.003249,-0.002693,-0.003627,0.007877,-0.004003 
93,145,-0.002208,-0.003497,-0.035961,-0.006932,-0.010576,-0.003692,0.021458,0.002247 
94,130,-0.002208,-0.003497,-0.028474,0.003170,-0.004562,-0.007463,0.014668,-0.006454 
