UID,runID,cutID,SieveRowID,SieveColID,bpmX,bpmY,focal_theta,focal_x,focal_phi,focal_y,targetCalTh,targetCalPh,targetMeaTh,targetMeaPh,residualTh,residualPh
22400305,2240,124,5,3,-2e-4,-5e-4,-0.008184341072463769,-0.04151167539130435,-0.013146007739130435,0.004622758405797101,0.026355,-0.01095,0.025996208321078407,-0.010983678631428495,3.5879167892159317e-4,3.3678631428494884e-5
22410905,2241,166,5,9,-0.0032,-4.99e-4,-0.014226014764542936,-0.011412848686149585,0.010689087119113573,-0.01757046515235457,0.026345,0.015755,0.025565658158748145,0.015063037319117564,7.793418412518563e-4,6.919626808824384e-4
22391103,2239,178,3,11,0.003794,-5.01e-4,-1.5708127921428572e-4,-0.025827924,0.013490662485714285,-0.014219069514285714,-8.17e-4,0.014835,-7.304914563123455e-4,0.015503903630660716,-8.650854368765451e-5,-6.689036306607159e-4
22440802,2244,156,2,8,0.001792,-0.003498,0.0079106025648415,-0.036551458213256484,0.0025470301069164267,-0.006178957319884726,-0.019296,0.004428,-0.019115472493115095,0.0042796375808660265,-1.8052750688490673e-4,1.4836241913397327e-4
22570804,2257,60,4,8,-2e-4,-4.98e-4,-0.007199208082901554,0.10656654145077721,0.001924808026373057,-0.009092018911917098,0.012772,0.006455,0.013466885182556104,0.006112797436907704,-6.948851825561031e-4,3.4220256309229534e-4
22450705,2245,152,5,7,-0.002208,-0.003497,-0.014697816805555555,-0.020853352944444445,-9.80563276111111e-4,-0.011555757861111111,0.028249,0.005372,0.028783066872408638,0.005908716364064441,-5.340668724086365e-4,-5.367163640644414e-4
22391001,2239,169,1,10,0.003794,-5.01e-4,0.009849532970027247,-0.037992149046321526,0.007948606991825613,-0.01333433171934605,-0.021206,0.01177,-0.021379793486015982,0.011931114020490798,1.7379348601598434e-4,-1.611140204907992e-4
22410804,2241,158,4,8,-0.0032,-4.99e-4,-0.0061125275331564985,-0.021698760663129972,0.0030147677722015915,-0.01125617347480106,0.012766,0.009506,0.012099939962636357,0.00880556239073389,6.660600373636422e-4,7.004376092661091e-4
22390701,2239,148,1,7,0.003794,-5.01e-4,0.008753995795148248,-0.028143896576819406,7.018066778167116e-4,-0.001901592741239892,-0.021206,-7.37e-4,-0.022255507142761238,-2.227474511556907e-4,0.0010495071427612398,-5.142525488443094e-4
22400904,2240,165,4,9,-2e-4,-5e-4,-0.006720356693548387,-0.027852600913978495,0.008960658360215054,-0.013387037123655915,0.01277,0.012706,0.01232704838127431,0.012587921114615338,4.429516187256915e-4,1.1807888538466202e-4
22560301,2256,218,1,3,-1.97e-4,-5e-4,0.007884559472295515,-0.12982136147757256,-0.010609997519788918,0.004365696807387863,-0.027985,-0.010953,-0.02763256433692272,-0.010467089084796417,-3.52435663077278e-4,-4.859109152035828e-4
22400905,2240,166,5,9,-2e-4,-5e-4,-0.013963054480874317,-0.01301010504590164,0.010275736338797815,-0.014834469863387979,0.026355,0.012706,0.025654183533203118,0.012562216582447331,7.008164667968809e-4,1.4378341755266882e-4
22410602,2241,142,2,6,-0.0032,-4.99e-4,0.005517997704485488,-0.02883472796833773,-0.0018925621197889181,-0.0051424896316622695,-0.014393,0.003256,-0.014245854783710068,0.002512040090557532,-1.4714521628993255e-4,7.439599094424681e-4
22450702,2245,149,2,7,-0.002208,-0.003497,0.005146745277777778,-0.038826748055555554,4.228174539722222e-4,-0.006516200638888889,-0.012495,0.005372,-0.012955179720013086,0.004374315414699057,4.6017972001308703e-4,9.976845853009425e-4
22570603,2257,45,3,6,-2e-4,-4.98e-4,-3.1717055202099735e-4,0.10305646018372704,2.355346015748031e-5,-2.725425421102362e-4,-8.13e-4,2.04e-4,-9.522344745635299e-4,1.3993858350344325e-4,1.392344745635299e-4,6.406141649655673e-5
